,title,link,create_time
0,模型架构的创新探索，Meta向左，DeepSeek向右,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487477&idx=1&sn=59a601c580753c1dfeaf1c7ec4641a6d&chksm=c036c06df741497b4954ccec71ee6fa04c0d52829890fc7e7193b6966cc56bb8574e3178f7c6#rd,2025-02-18 08:38:18
1,我辈当执凌云志丨MINERVA 2025春季招聘,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487457&idx=1&sn=c6a913bee4e7c7a9d86e9721eadda0b9&chksm=c036c079f741496f35aa63322fb9bf47028d66ff77c6f1711b714cd8d9bd2fb997a768f1e547#rd,2025-02-11 13:04:00
2,2025年，我们在硅谷看到了哪些AI+的机会,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487442&idx=1&sn=b440889d9735e03196e952437a1c76fa&chksm=c036c04af741495ca225ddd39c1cb4ead12e324a2c8cdb8b6dc75b2f9fa8c448c2d19efa337f#rd,2025-02-07 10:58:32
3,新年安康 丨 祥龙辞岁，灵蛇纳福。,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487425&idx=1&sn=41562b8af09f8e609e286e60187fed54&chksm=c036c059f741494f6cfe68e379dd718e1f81723f0f2218bc405755fdb6fbd77485aff51ac4cf#rd,2025-01-28 10:37:15
4,M Club丨顺颂时宜，百事从欢,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487420&idx=1&sn=7fa7c63999c801b5228130bc061e6235&chksm=c036c024f74149320c3d4ad939c900cee0fe4e022516b0bdb6d37e34b98ee3256c9f6331de71#rd,2025-01-27 18:00:26
5,2025年，我们在CES看到了哪些创新产品的机会,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487374&idx=1&sn=93d0dac40563c88c56c61cdf2c0b5cf4&chksm=c036c016f74149000de81568d8a6496b77e1a5f932e8d4301f81d248c46935fc14dab2c60525#rd,2025-01-26 21:55:40
6,M Partners丨明星智驾团队转战机器人赛道，维他动力获亿元级种子轮投资,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487315&idx=1&sn=3a427a5996f96c888919ed8f1e23ecd7&chksm=c036c0cbf74149ddc2fc9255284fd99e30c42b97fa7b7a41f5e9dddb318e6d13072187bac1a7#rd,2025-01-22 18:24:09
7,M Honor｜Minerva Capital 荣登企名片「中国新锐财务顾问榜 TOP 10」等多个榜单,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487292&idx=1&sn=285fd0dcfd78d1984a3bbadf63df5b08&chksm=c036c0a4f74149b2231884b6027bd96a93c98bc18c49b45b12a2ca90cb92e1df603ee84d5e16#rd,2025-01-09 16:20:33
8,M Club丨元旦献礼，鸿运满图,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487274&idx=1&sn=8dba7aec2b7e53603cbca407a006d99d&chksm=c036c0b2f74149a4b750e729b5a3156bc70784bf210c33ea22d48a5b0f0ff96ce84e153f2741#rd,2025-01-01 16:07:20
9,M Deal丨产品获马斯克点赞，AI机器人公司「TangibleFuture」完成数百万天使轮融资,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487197&idx=1&sn=36f0e6c354cff0e9b66c19254437f310&chksm=c036c145f741485360376a08e77ed7b9e50e74329f8a7c00cd9f8497a5bfd24ec35804b0f7ce#rd,2024-12-14 17:51:35
